"id","label","comment","subPropertyOf","equivalentProperty","subproperties","domainIncludes","rangeIncludes","inversOf","supersedes","supersededBy","isPartOf"
"http://schema.org/brand","brand","The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.","","","","http://schema.org/Organization, http://schema.org/Person, http://schema.org/Product, http://schema.org/Service","http://schema.org/Brand, http://schema.org/Organization","","",""
"http://schema.org/breadcrumb","breadcrumb","A set of links that can help a user understand and navigate a website hierarchy.","","","","http://schema.org/WebPage","http://schema.org/BreadcrumbList, http://schema.org/Text","","",""
"http://schema.org/broadcastAffiliateOf","broadcastAffiliateOf","The media network(s) whose content is broadcast on this station.","","","","http://schema.org/BroadcastService","http://schema.org/Organization","","",""
"http://schema.org/broadcastChannelId","broadcastChannelId","The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.","","","","http://schema.org/BroadcastChannel","http://schema.org/Text","","",""
"http://schema.org/broadcastDisplayName","broadcastDisplayName","The name displayed in the channel guide. For many US affiliates, it is the network name.","","","","http://schema.org/BroadcastService","http://schema.org/Text","","",""
"http://schema.org/broadcastOfEvent","broadcastOfEvent","The event being broadcast such as a sporting event or awards ceremony.","","","","http://schema.org/BroadcastEvent","http://schema.org/Event","","",""
"http://schema.org/broadcastServiceTier","broadcastServiceTier","The type of service required to have access to the channel (e.g. Standard or Premium).","","","","http://schema.org/BroadcastChannel","http://schema.org/Text","","",""
"http://schema.org/broadcastTimezone","broadcastTimezone","The timezone in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 format</a> for which the service bases its broadcasts","","","","http://schema.org/BroadcastService","http://schema.org/Text","","",""
"http://schema.org/broadcaster","broadcaster","The organization owning or operating the broadcast service.","","","","http://schema.org/BroadcastService","http://schema.org/Organization","","",""
"http://schema.org/broker","broker","An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.","","","","http://schema.org/Invoice, http://schema.org/Order, http://schema.org/Reservation, http://schema.org/Service","http://schema.org/Organization, http://schema.org/Person","","http://schema.org/bookingAgent",""
"http://schema.org/browserRequirements","browserRequirements","Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.","","","","http://schema.org/WebApplication","http://schema.org/Text","","",""
"http://schema.org/busName","busName","The name of the bus (e.g. Bolt Express).","","","","http://schema.org/BusTrip","http://schema.org/Text","","",""
"http://schema.org/busNumber","busNumber","The unique identifier for the bus.","","","","http://schema.org/BusTrip","http://schema.org/Text","","",""
"http://schema.org/businessFunction","businessFunction","The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.","","","","http://schema.org/Demand, http://schema.org/Offer, http://schema.org/TypeAndQuantityNode","http://schema.org/BusinessFunction","","",""
"http://schema.org/buyer","buyer","A sub property of participant. The participant/person/organization that bought the object.","http://schema.org/participant","","","http://schema.org/SellAction","http://schema.org/Person","","",""
"http://schema.org/byArtist","byArtist","The artist that performed this album or recording.","","","","http://schema.org/MusicAlbum, http://schema.org/MusicRecording","http://schema.org/MusicGroup","","",""
"http://schema.org/calories","calories","The number of calories.","","","","http://schema.org/NutritionInformation","http://schema.org/Energy","","",""
"http://schema.org/candidate","candidate","A sub property of object. The candidate subject of this action.","http://schema.org/object","","","http://schema.org/VoteAction","http://schema.org/Person","","",""
"http://schema.org/caption","caption","The caption for this object.","","","","http://schema.org/ImageObject, http://schema.org/VideoObject","http://schema.org/Text","","",""
