stats.criteria.itemtype,COUNT_DISTINCT(domain)
http://schema.org/isSimilarTo,20
http://schema.org/LocalBusiness/,20
http://schema.org/GovernmentPermit,20
http://schema.org/LocalBussines,20
http://schema.org/PreOrder,20
http://schema.org/%E2%80%8BGeo,20
http://schema.org/Window,20
http://schema.org/GeneralContractorGeneralContractor,20
http://schema.org/movingcompany,19
http://schema.org/Games,19
http://schema.org/Dermatologic,19
http://schema.org/Event/,19
http://schema.org/UserLike,19
http://schema.org/RentalRate,19
http://schema.org/aggregateoffer,19
http://schema.org/sku,19
http://schema.org/Color,18
http://schema.org/Seller,18
http://schema.org/RadioSeason,18
http://schema.org/TravelAgency%3E,18
http://schema.org/Product/AggregateRating,18
http://schema.org/height,18
http://schema.org/BusinessAudience,18
http://schema.org/services,18
https://schema.org/Brand,18
http://schema.org/copyrightYear,18
http://schema.org/photo,18
http://schema.org/Site,18
http://schema.org/manufacturer,18
http://schema.org/Financial Institutions,18
http://schema.org/LocalBusiness/Store/Florist,18
http://schema.org/StructuredValue,18
http://schema.org/Product/Game/Download,18
http://schema.org/SiteNavigationElement/,18
http://schema.org/Person/Athlete,18
http://schema.org/Urologic,17
http://schema.org/potentialAction,17
http://schema.org.org/AggregateRating,17
http://schema.org/Oranization,17
http://schema.org/ContactPoints,17
http://schema.org/music,17
http://schema.org/TVShow,17
http://schema.org/AnatomicalSystem,17
http://schema.org/aboutPage,17
http://schema.org/Dental,17
http://schema.org/PhotographAction,17
http://schema.org/PhysicalActivityCategory,17
http://schema.org/serviceArea,17
http://schema.org/Discussion,17
http://schema.org/itemList,17
http://schema.org/Cardiovascular,17
http://schema.org/text,17
http://schema.org/Portfolio,17
http://schema.org/articleSection,17
http://schema.org/Food,17
http://schema.org/width,16
"http://schema.org/WebPageElement,https://schema.org/ItemList",16
http://schema.org/BiologicalDatabaseEntry,16
http://schema.org/Waterfall,16
http://schema.org/contactPoints,16
http://schema.org/model,16
http://schema.org/Discounted,16
http://schema.org/TVClip,16
http://schema.org/Psychiatric,16
http://schema.org/VisualArtwork,16
http://schema.org/Automotive,16
http://schema.org/InformAction,16
http://schema.org/Roofing,16
http://schema.org/Artcile,16
http://schema.org/MedicalAnswerPost,16
http://schema.org/Books,16
http://schema.org/Photography,16
http://schema.org/Magazine,16
http://schema.org/object,16
http://schema.org/Webhosting,16
http://schema.org/Content,16
http://schema.org/NewsItem,16
http://schema.org/Tour,16
http://schema.org/Creative,16
"http://schema.org/SiteNavigationElement,https://schema.org/itemListElement",16
http://schema.org/Coupon,16
http://schema.org/Organization/Corporation,16
http://schema.org/CookAction,16
http://schema.org/Article/NewsArticle,16
http://schema.org/MusicComposition,16
https://schema.org/Review,16
http://schema.org/SurgicalProcedure,16
http://schema.org/childCare,16
http://schema.org/Bondsman,16
http://schema.org/RoofingContractorRoofingContractor,16
http://schema.org/MedicalTrial,15
http://schema.org/information,15
